question,answer
What is the purpose of configuring a custom domain for an organization in Choreo?,"Configuring a custom domain for your organization in Choreo offers several purposes and benefits, which are essential for enhancing your organization's online presence:\n\n### Purpose of Configuring a Custom Domain\n1. **Branding**: A custom domain allows you to present a professional image that aligns with your brand identity. This can help in building trust with your users.\n2. **Discoverability**: Custom domains can be easier to remember, making it simpler for users to find and access your services or applications.\n3. **Credibility**: Having a custom domain increases your organization's credibility and helps in establishing a reputable online presence.\n\n### Benefits of Custom Domains in Choreo\n1. **Custom URLs for Components**: By configuring a custom domain, developers can create personalized URLs for various components such as API proxies, services, web applications, and webhooks, making them more user-friendly.\n2. **Centralized Management**: Organization administrators have the ability to manage custom domains from a centralized location, allowing for effective oversight and control over how components are accessed.\n3. **Enhanced User Experience**: Users accessing your services via a custom domain will have a more seamless experience, which can lead to higher user satisfaction and engagement.\n4. **TLS Certificate Management**: You have the option to import your own TLS certificates or use Let's Encrypt for automatic certificate generation and management, ensuring secure communications.\n\nBy utilizing a custom domain in Choreo, you can significantly improve how your organization is perceived online and provide a better experience for your users. \n\nFor detailed instructions on configuring a custom domain, please refer to the official documentation: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/)."
How does Choreo's custom domain configuration model work?,"Choreo's custom domain configuration model allows organization administrators to set up custom domains that component developers can later use for their components. This model enhances branding, discoverability, and credibility for your services, web applications, and APIs.\n\n### Steps to Configure a Custom Domain\n\n1. **Prerequisites**:\n   - You must have organization administrator privileges.\n   - Ensure you have created an organization in Choreo.\n\n2. **Add a Custom Domain**:\n   - In the Choreo Console, navigate to the **Organization** list in the header.\n   - Click on **Settings** in the left navigation menu to access the organization-level settings.\n   - Go to the **URL Settings** tab, then click on the **Active Domains** tab.\n   - Click **+ Add Domains**.\n   - In the **Add a Custom Domain** pane:\n     - Enter your desired domain name.\n     - Select the environment to apply the domain name.\n     - Choose the entity type (API or Web App) for the domain.\n   - After this, a CNAME target value will be generated. Create a DNS record with your DNS provider to link your domain name to this CNAME target.\n   - Click **Verify** after setting up the DNS record.\n   - Once verified, you can choose a TLS certificate provider. You may import your own TLS certificates or choose **Let's Encrypt** for automatic management.\n   - Finally, click **Add** to save the custom domain.\n\n3. **Utilizing the Custom Domain**:\n   - Once the custom domain is added, component developers can request to use this domain for their components.\n   - The request will need to be approved by the organization administrator before it can take effect.\n\n### Considerations\n- Ensure the DNS setup is configured correctly, as it may take some time for the CNAME mapping to be globally available.\n- If using custom TLS certificates, make sure they meet the specified guidelines, including being in PEM format and issued by a recognized certificate authority.\n\n### Requesting a Custom URL for a Component\n1. Ensure your component is deployed in the environment linked to your custom domain.\n2. Navigate to the component in the Choreo Console and click on **Settings**.\n3. Under the **URL Settings** tab, you can request a custom URL if a custom domain is available.\n4. Submit the request, which will be pending until approved by the organization administrator.\n\n### Approving a Custom URL Request\n1. Navigate to the **Settings** under the **Organization** list.\n2. Click on the **Pending URL Requests** tab.\n3. Review and approve any requests to finalize the custom URL mapping.\n\nFor more detailed information and visuals, you can refer to the documentation here: [Choreo Custom Domain Configuration Model](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#choreo-custom-domain-configuration-model)."
Who can add custom domains in Choreo?,"In Choreo, only organization administrators have the privileges to add custom domains for their organizations. When an administrator adds custom domains, component developers can then submit requests to utilize these custom domains for their respective components. However, these requests require approval from the organization administrator before they can be implemented.\n\nFor detailed guidance on configuring a custom domain and the roles involved, you can refer to the following documentation: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#choreo-custom-domain-configuration-model)."
Who can request to use a custom domain in Choreo?,"In Choreo, developers are eligible to request a custom domain for their components once an organization administrator has added custom domains for specific environments. The process involves developers submitting requests for the available custom domains to configure a custom URL for their components. However, these requests must be approved by the organization administrator before the custom domain can be utilized.\n\nHere’s a summary of who can request a custom domain:\n\n- **Developers**: They can request any available custom domain for their components after the organization administrator has set up custom domains.\n- **Organization Administrators**: They are responsible for approving the requests made by developers.\n\nFor further details on the process of requesting and approving a custom domain, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#choreo-custom-domain-configuration-model)."
Is administrator approval required for custom domain requests in Choreo?,"Yes, Choreo does require administrator approval for custom domain requests. When an organization administrator adds custom domains for their organization, component developers can submit requests to utilize these custom domains for their respective components. However, these requests must be approved by the organization administrator before the custom domain and the relevant URL customization become available for use.\n\nHere is a brief overview of the process:\n\n1. **Administrator adds custom domains**: An organization administrator can add custom domains to the organization.\n2. **Developer requests custom URL**: Developers can then request to utilize these custom domains for their components.\n3. **Approval required**: The requests submitted by developers will remain in a pending state until the organization administrator reviews and approves them. Once approved, the custom domain can be used to set up a custom URL for the component.\n\nFor more detailed information, you can refer to the relevant documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#choreo-custom-domain-configuration-model)."
What are the prerequisites for configuring a custom domain in Choreo?,"To configure a custom domain in Choreo, there are some prerequisites that you need to fulfill:\n\n1. **Create an Organization**: You must have an organization created in Choreo. This is essential as custom domains are configured at the organization level.\n\n2. **Administrator Privileges**: You need to have organization administrator privileges to add a custom domain. This means that only users with the appropriate permissions can perform this action.\n\nOnce you have met these prerequisites, you can proceed with configuring a custom domain for your organization. If you need further details on the steps to add a custom domain, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
How do I sign in to the Choreo Console?,"I'm sorry, but I can't provide the detailed steps for signing in to the Choreo Console as it requires specific information that I do not have. If you have further questions about Choreo or need assistance with other features, feel free to ask!"
How do I create an organization in Choreo?,"To create an organization through the Choreo Console, follow these detailed steps:\n\n### Steps to Create an Organization\n\n1. **Sign In**: Start by signing in to the Choreo Console using your preferred method (Google, GitHub, or Microsoft).\n   \n2. **Enter Organization Name**: You will be prompted to enter a unique organization name. For example, you might use a name like `Stark Industries`.\n\n3. **Accept Terms**: Read and accept the privacy policy and terms of use presented to you.\n\n4. **Create Organization**: Click on the **Create** button. This action will create your organization and redirect you to the organization home page.\n\n### Prerequisites and Permissions Required\n- Make sure you have access to your preferred sign-in method (Google, GitHub, or Microsoft).\n- There are no specific permissions required beyond being able to sign in and accept the terms.\n\nOnce you complete these steps, your organization will be successfully created in Choreo, and you can start using it for your projects.\n\nFor more details, you can refer to the following documentation: [Creating an Organization in Choreo Console](https://wso2.com/choreo/docs/choreo-samples/explore-the-demo-organization/#prerequisites)."
Where do I navigate to add a custom domain in the Choreo Console?,"To add a custom domain in the Choreo Console, follow these steps:\n\n1. In the Choreo Console header, click the **Organization** list.\n2. In the left navigation menu, click **Settings**. This opens the organization-level settings page.\n3. Click the **URL Settings** tab and then click the **Active Domains** tab.\n4. Click **+ Add Domains**.\n5. In the **Add a Custom Domain** pane, enter your domain name, select the environment to apply the domain name, and choose the entity type (API, Web App, etc.) to apply the domain.\n6. Create a DNS record associating the domain name to the generated CNAME target value with your DNS provider.\n7. Click **Verify** after creating the CNAME type DNS record.\n8. Once verified, click **Next**.\n9. Choose a TLS certificate provider, either by importing your own TLS certificates or using **Let's Encrypt**.\n10. Finally, click **Add** to save the custom domain.\n\nAfter successfully adding the custom domain, it will be listed in the **Active Domains** tab under the **URL Settings** tab.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What information do I need to enter when adding a custom domain in Choreo?,"To add a custom domain for your organization in Choreo, you need to provide the following required fields and information:\n\n1. **Domain Name**: Enter the specific domain name you want to add.\n2. **Environment**: Select the environment to which you want to apply the domain name.\n3. **Entity Type**: Choose the entity type for the domain name. The available options are:\n   - **API**: For Choreo components exposed via an endpoint, including API Proxy, Service, and Webhook components.\n   - **Web App**: For the Web Application component.\n   - **Developer Portal**: Note that when this option is selected, the environment is not applicable.\n\nOnce you have entered this information, you will need to create a DNS record associating your domain name with the CNAME target value provided by Choreo. After that, you can verify the CNAME mapping.\n\nAdditionally, you will need to select a TLS certificate provider and either import your own TLS certificates or use the Let's Encrypt option for Choreo to manage the certificates for you.\n\nFor detailed steps and guidelines, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
