question,answer
How do I configure a custom domain for the Developer Portal?,"To configure a custom domain for the Developer Portal in Choreo, you will need to follow these steps:

### Prerequisites
- Ensure you have organization administrator privileges to perform this action.
- Create an organization in Choreo if you haven't done so already.

### Steps to Add a Custom Domain
1. **Access the Settings**:
   - In the Choreo Console, click on the **Organization** list in the header.
   - Navigate to **Settings** in the left menu to open the organization-level settings page.

2. **Add a Custom Domain**:
   - Click on the **URL Settings** tab and then the **Active Domains** tab.
   - Click on **+ Add Domains** to open the domain configuration pane.

3. **Enter Domain Details**:
   - In the **Add a Custom Domain** pane, input your desired domain name.
   - Select **Developer Portal** as the entity type. Note that the environment selection is not applicable for the Developer Portal.

4. **Create a DNS Record**:
   - You will see a generated CNAME target value. Create a DNS record with your DNS provider that associates your custom domain with this CNAME target.

5. **Verify CNAME Mapping**:
   - After creating the DNS record, click **Verify** in the Choreo Console. If the CNAME mapping is correct, it will verify successfully. Note that it may take some time for the CNAME mapping to be globally available.

6. **Select TLS Certificate**:
   - Once verified, click **Next**. You can either import your own TLS certificates or choose **Let's Encrypt** to allow Choreo to generate and manage the certificates for you.

7. **Save the Custom Domain**:
   - After selecting your TLS certificate option, click **Add** to save the custom domain.

### Final Note
Once the custom domain is added, it will be available for use immediately with the Developer Portal, allowing you to access the portal via your custom domain.

For a more detailed guide, you can refer to the documentation: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What entity types can use a custom domain in Choreo?,"In Choreo, custom domains can be applied to the following entity types:

1. **API**: This includes components exposed via an endpoint, such as API Proxies, Services, and Webhook components.
2. **Web App**: This refers to the Web Application component.
3. **Developer Portal**: This type does not require an environment to be specified; the customization is applied immediately upon configuration.

When you configure a custom domain for your organization, you can select the appropriate entity type to apply the domain name. Developers can then use these custom domains to request customized URLs for their respective components.

For more detailed information on configuring custom domains for your organization, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What is the purpose of the CNAME record when configuring a custom domain?,"The CNAME record plays a crucial role in configuring a custom domain for your organization in Choreo. When you add a custom domain, the CNAME record allows you to associate your domain name with the Choreo service's target value. This ensures that requests to your custom domain are correctly routed to the appropriate Choreo components.

Here’s how it works in the context of configuring a custom domain:

1. **CNAME Target Value**: When you add a custom domain, Choreo generates a CNAME target value. This value is crucial as it indicates where your domain should point to. You will need to create a DNS record with your DNS provider that links your custom domain to this CNAME target.

2. **Verification**: After creating the CNAME DNS record, you can verify its correctness within the Choreo Console. If the CNAME mapping is accurate, the verification will complete successfully. However, keep in mind it may take some time for the mapping to be globally available.

3. **Usage in Custom URLs**: Once the CNAME is correctly set up and verified, the custom domain can be utilized for your components such as API proxies, services, web applications, and webhooks. This allows you to create a more branded and user-friendly experience for end-users.

In summary, the CNAME record is essential for routing traffic from your custom domain to Choreo services, enhancing branding and accessibility.

For more details on configuring a custom domain in Choreo, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What happens to the Developer Portal when a custom domain is added?,"When a custom domain is added to the Developer Portal in Choreo, several changes occur:

1. **Immediate Availability**: The customization applied via the custom domain becomes available immediately. This means that once the custom domain is configured and verified, users can access the Developer Portal through the new domain without any delay.

2. **Access via Custom Domain**: Users will access the organization’s Developer Portal using the newly added custom domain, enhancing the branding and user experience for API consumers.

3. **Custom URL Configuration**: The custom domain will be available for various entity types in the specified environment, allowing developers to request and configure custom URLs for their components. 

Overall, adding a custom domain enriches the Developer Portal's branding and accessibility, making it easier for API consumers to find and interact with the APIs.

For detailed steps on configuring a custom domain, you can refer to the documentation here: [Configure a Custom Domain for Your Organization](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
How long does it take for Developer Portal customizations to be applied after adding a custom domain?,"When you add a custom domain for the Developer Portal in Choreo, the customizations are applied immediately. This means that once you successfully add the custom domain and complete the necessary configurations, you can access your organization’s Developer Portal via the newly added domain right away.

For a detailed guide on how to configure a custom domain for your organization, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What is the difference between importing a TLS certificate and using Let's Encrypt?,"The difference between importing a TLS certificate and using Let's Encrypt for securing services or APIs in Choreo primarily revolves around how the certificates are generated and managed.

### Importing a TLS Certificate
When you import a TLS certificate, you typically have a certificate that has been generated externally (for example, through a Certificate Authority or self-generated). This certificate is then imported into Choreo to establish secure communication channels. The process involves the following:

- **Root Certificate**: A root certificate is used to verify the authenticity of other certificates during the TLS handshake process.
- **Client & Server Certificates**: You need to create and sign client and server certificates using the root certificate. The client certificate identifies the client, while the server certificate helps clients verify the server's trustworthiness.

### Using Let's Encrypt
Let's Encrypt is a Certificate Authority that provides free SSL/TLS certificates. When using Let's Encrypt in Choreo, the process is usually automated:

- **Automatic Certificate Issuance**: Let's Encrypt provides an automated way to obtain and renew certificates without manual intervention.
- **No Manual Management**: You do not have to import certificates manually, as Let's Encrypt takes care of the generation and renewal of certificates automatically.

### Key Differences
- **Management**: Importing a TLS certificate requires manual management, while Let's Encrypt automates this process.
- **Cost**: Let's Encrypt offers free certificates, whereas imported certificates may involve costs depending on the Certificate Authority used.
- **Ease of Use**: Let's Encrypt simplifies the process of obtaining and renewing certificates, making it more user-friendly compared to the manual process of importing certificates.

In summary, if you prefer a hands-on approach and have existing certificates, you might opt for importing. If you are looking for an automated solution with minimal effort, using Let's Encrypt would be more suitable.

For more detailed information on configuring mutual TLS and working with certificates in Choreo, you can refer to the following documentation:
- [Configure Mutual TLS Between Components](https://wso2.com/choreo/docs/authentication-and-authorization/configure-mutual-tls-between-components/)"
What is the status of a custom URL request before it is approved?,"In Choreo, when a developer requests a custom URL for a component, the status of that request before it is approved is marked as **Pending**. This indicates that the request is awaiting approval from an organization administrator. 

Here’s a brief overview of the process:

1. **Request Submission**: The developer submits a request for a custom URL after ensuring that the component is deployed in the desired environment.
2. **Pending Status**: Once the request is submitted, it will remain in the **Pending** status until an organization administrator reviews and approves or rejects it.

The custom URL request will stay in this status and will not be active until it receives the necessary approval. 

For further details on configuring custom URLs and understanding the approval process, you can refer to the documentation here: [Configure a custom URL for a component](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
What happens to a component's invoke URL after a custom URL request is approved?,"When a custom URL request for a component in Choreo is approved, the following changes occur regarding the component's invoke URL:

1. **Replacement of Invoke URL**: The invoke URL of the component is replaced with the configured custom URL. This means that the original invoke URL that was automatically generated for the component is no longer used; instead, the custom URL becomes the new endpoint for invoking the component.

2. **Visibility of Custom URL**: After approval, the custom URL will be visible under the component's URL settings, indicating that it is now the active URL for accessing the component.

To summarize, once an organization administrator approves the custom URL request, the component's invoke URL is updated to reflect the new custom URL that has been set up.

For more detailed information about configuring custom URLs and the approval process, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
Where can I find the list of pending URL requests?,"To find the list of pending URL requests in Choreo, you need to follow these steps:

1. In the Choreo Console, navigate to the **Organization** list located in the header and select your organization.
2. From the left navigation menu, click on **Settings**. This will open the organization-level settings page.
3. Click on the **URL Settings** tab.
4. Then select the **Pending URL Requests** tab. Here, you will see all the pending URL mapping requests that have been sent by developers.

This section displays the requests that are still awaiting approval from an organization administrator.

For more detailed information, you can refer to the official documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-url-for-a-component)."
What are the prerequisites for configuring a user store with the built-in identity provider?,"To configure a user store with the built-in identity provider in Choreo, you need to meet the following prerequisite:

- **Administrator Rights**: You must have administrator rights to your Choreo organization. This permission is essential to configure a user store with the built-in identity provider.

Once you have the necessary permissions, you can proceed with the configuration steps outlined in the documentation.

For further details, you can refer to the documentation here: [Configure a User Store with the Built-In Identity Provider - Prerequisites](https://wso2.com/choreo/docs/administer/configure-a-user-store-with-built-in-idp/#prerequisites)."
