question,answer
How do I configure a custom error page for managed authentication?,"To configure a custom error page for managed authentication in Choreo, you need to define the error path in the configuration of your web application component. This custom error page will be displayed in the event of an error during processes like sign-in or sign-out. Here's how to do it:\n\n1. **Enable Managed Authentication**: Ensure that managed authentication is enabled for your web application component. This is typically done at the time of component deployment.\n\n2. **Configure Error Path**:\n   - Navigate to the **Deploy** section of your web application in the Choreo Console.\n   - In the **Set Up** card, look for the **Error Path** field. \n   - Specify the relative path to your custom error page. If you do not set this path, Choreo will use its built-in error page by default.\n\n3. **Query Parameters**: When Choreo redirects to your custom error page, it will include the following query parameters in the URL:\n   - `code`: A short textual error code indicating the error.\n   - `message`: A description of the error.\n\nBy setting up a custom error page, you can provide a better user experience by guiding users appropriately in case of authentication errors.\n\nFor more detailed instructions, you can refer to the documentation here: [Secure Web Applications with Managed Authentication](https://wso2.com/choreo/docs/authentication-and-authorization/secure-web-applications-with-managed-authentication/#step-1-set-up-managed-authentication-for-your-web-application)."
How can I access user claims information in a Choreo web application?,"To access user claims information in a Choreo web application, you have two primary methods after a user successfully signs in: via the `userinfo` cookie or by invoking a GET endpoint.\n\n### 1. Obtain User Information via the `userinfo` Cookie\nAfter a successful sign-in, Choreo sets a `userinfo` cookie that contains encoded user information claims. Here’s how you can access this information:\n\n- **Read the `userinfo` Cookie**: You can use a cookie-parsing library like `js-cookie` to read the cookie.\n- **Decode the Cookie Value**: The value of the cookie is encoded, so you need to decode it.\n- **Store or Utilize the Information**: You can store the information in browser-based storage if needed.\n- **Clear the Cookie**: It's a good practice to clear the cookie after you read it.\n\nHere’s a sample code snippet for this process:\n\n```javascript\nimport Cookies from 'js-cookie';\n\n// Read userinfo cookie value.\nconst encodedUserInfo = Cookies.get('userinfo')\n\n// Decode the value.\nconst userInfo = JSON.parse(atob(encodedUserInfo))\n\n// Store the value in a preferred browser-based storage if needed.\n\n// Clear the cookie.\nCookies.remove('userinfo', { path: <post-login-path> })\n```\n\n### 2. Obtain User Information via the `/auth/userinfo` Endpoint\nChoreo also provides a GET endpoint `/auth/userinfo` to retrieve user information claims. This can be useful if you prefer to fetch the data programmatically.\n\nHere’s how to do it:\n\n```javascript\nconst response = await fetch('/auth/userinfo')\n\nif (response.ok) {\n    const userInfo = await response.json();\n    // Use the userInfo object as needed\n} else {\n    // Handle the case where the user is not signed in\n}\n```\n\n### Important Notes:\n- The `userinfo` cookie is designed to have a short lifespan (2 minutes), so make sure to handle it promptly.\n- If the user is not signed in, the `/auth/userinfo` endpoint will return a `401 Unauthorized` response.\n\nFor more details on implementing managed authentication and accessing user claims, you can refer to the official documentation: [Secure Web Applications with Managed Authentication](https://wso2.com/choreo/docs/authentication-and-authorization/secure-web-applications-with-managed-authentication/#step-1-set-up-managed-authentication-for-your-web-application)."
What is the purpose of the session_hint parameter in the sign-out process?,"The `session_hint` parameter in the sign-out process is used to enhance the logout experience by providing information about the user's session to the identity provider. When a user clicks the sign-out button in your web application, you can redirect them to the `/auth/logout` path while passing the `session_hint` cookie value in the request. This helps the identity provider identify the session to be terminated.\n\nHere’s a brief overview of how it works:\n\n1. **Implementing Sign-Out**: When the sign-out button is clicked, the application constructs a URL for the logout endpoint, including the `session_hint` parameter, which is retrieved from the `session_hint` cookie.\n   \n   Example code snippet for sign-out:\n   ```javascript\n   <button onClick={async () => {\n       window.location.href = `/auth/logout?session_hint=${Cookies.get('session_hint')}`;\n   }}>Logout</button>\n   ```\n\n2. **Session Termination**: Choreo will then clear the relevant session cookies and redirect the user to the OIDC logout endpoint of the configured identity provider (if available). This process ensures a proper logout across all services linked to that session.\n\nUsing the `session_hint` parameter is important as it provides context about the session being terminated, which can help in scenarios where multiple sessions are managed, or when single sign-out (SSO) functionality is implemented across multiple applications.\n\nFor further details, you can refer to the relevant section in the documentation: [Secure Web Applications with Managed Authentication](https://wso2.com/choreo/docs/authentication-and-authorization/secure-web-applications-with-managed-authentication/#step-1-set-up-managed-authentication-for-your-web-application)."
How can I test the custom domain configuration in Choreo?,"To test the custom domain configuration in Choreo after setting it up, you can follow these steps:\n\n1. **Verify CNAME Mapping**: After you have added your custom domain and created the necessary DNS records, the first step is to verify the CNAME mapping. In the Choreo Console, go to the **URL Settings** tab under **Active Domains** and click **Verify** next to your custom domain. If the CNAME mapping is correct, the verification process will complete successfully. Keep in mind that it may take some time for the CNAME mapping to be globally available.\n\n2. **Access the Custom Domain**: If you have set up a custom domain for the Developer Portal, you can immediately access it via the added domain. For other types of components, ensure that the custom URL mapping has been created and approved by an organization administrator.\n\n3. **Invoke Your Component**: If you have configured a custom URL for a specific component, make sure that the component is deployed in the environment you specified. Use the custom URL to invoke the component and check if it is working as expected.\n\n4. **Check for Errors**: If you encounter any issues while accessing your custom domain or invoking your component, review the settings and DNS configurations to ensure everything is set up correctly.\n\nBy following these steps, you can effectively test the custom domain configuration made in Choreo. For further details, you may refer to the documentation on configuring a custom domain for your organization [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-your-organization)."
What are the entity types available for custom domain configuration?,"In Choreo, when configuring a custom domain, there are specific entity types available for which the custom domain can be applied. The available entity types are:\n\n1. **API**: This entity type represents Choreo components that are exposed via an endpoint. It includes API Proxy, Service, and Webhook components.\n\n2. **Web App**: This entity type represents the Web Application component.\n\n3. **Developer Portal**: This type is specific to the Developer Portal, and when selected, the environment is not applicable for the custom domain configuration.\n\nThese entity types allow you to effectively configure custom URLs for your components, enhancing branding and discoverability.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What happens if the custom domain verification fails?,"If a custom domain verification fails in Choreo, the following consequences and next steps can be anticipated:\n\n1. **Verification Failure**: The primary consequence of a failed verification is that the custom domain will not be successfully added to your organization. This means that you will not be able to use the custom domain for any of your components.\n\n2. **Check CNAME Record**: You should confirm that the CNAME record you created with your DNS provider is correctly pointing to the CNAME target value generated by Choreo. If the mapping is incorrect, you will need to update it.\n\n3. **Propagation Time**: Note that DNS changes can take some time to propagate globally. If you have just made the DNS changes, you may need to wait a bit longer before attempting to verify again.\n\n4. **Retry Verification**: Once you have confirmed that the CNAME record is set up correctly and enough time has passed for DNS propagation, you can go back to the Choreo Console and click the **Verify** button again.\n\n5. **Consult Documentation**: If issues persist after ensuring the CNAME record is correct and allowing for propagation, you might want to refer to the documentation for troubleshooting tips.\n\nFor more detailed steps on setting up and verifying a custom domain, you can check the specific section of the documentation [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-your-organization)."
How long does it take for Developer Portal customizations to apply after adding a custom domain?,"When you add a custom domain for the Developer Portal, the customization is applied immediately. This means that once the custom domain is successfully added, you can access your organization’s Developer Portal via the newly added domain without any delay.\n\nFor more details, you can refer to the documentation on configuring a custom domain for your organization [here](https://wso2.com/choreo/docs/administer/configure-a-custom-domain-for-your-organization/#configure-a-custom-domain-for-an-organization)."
What is the difference between a ConfigMap and a Secret in Choreo?,"In Choreo, both ConfigMaps (Configurations) and Secrets are used to manage sensitive content, but they serve different purposes and have distinct security implications.\n\n### ConfigMap (Configuration)\n- **Visibility**: Configurations can be read and updated via the Choreo Console after creation. This means that the content is accessible and can be modified as needed.\n- **Use Cases**: You might use a ConfigMap for non-sensitive configuration data, such as application settings or environment variables that do not require stringent security measures.\n- **Security Implications**: Since Configurations can be read, they are not suitable for storing sensitive information. \n\n### Secret\n- **Visibility**: Secrets are write-only, meaning once you create a secret, you cannot retrieve or view its content through the Choreo Console. You can overwrite the existing content but cannot access the original data.\n- **Use Cases**: Secrets are ideal for storing sensitive information such as database passwords, cloud credentials, or service account details. This ensures that such sensitive data is not exposed or visible during operation.\n- **Security Implications**: By design, Secrets provide a higher level of security as they prevent unauthorized access to sensitive content.\n\n### Summary\n- Use **Secrets** for sensitive data that must be kept confidential.\n- Use **Configurations** for non-sensitive configuration data that may need to be read or updated frequently.\n\nBoth Configurations and Secrets are stored in an encrypted vault to ensure security, and if you are using a private data plane, they can be stored in an Azure Key Vault or AWS Secret Manager.\n\nFor more detailed information, you can refer to the documentation: [Manage Configurations and Secrets](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-configurations-and-secrets/#the-difference-between-configurations-and-secrets)."
How can I manage Ballerina configurables in Choreo?,"In Choreo, managing Ballerina configurables is essential for configuring your Ballerina components effectively. Here’s how you can manage them:\n\n1. **Accessing the Deploy Page**: When you deploy or promote a Ballerina application, you can modify the configurables through the **Deploy** page.\n\n2. **Configuring Values**:\n   - Navigate to the **Set Up** card and click on **Configure & Deploy**.\n   - In the **Configurations** pane, you can specify the values for the configurable variables that are defined in your Ballerina project.\n   - For example, you might see fields like `apiKey`, `latitude`, `longitude`, and `email`. Enter the appropriate values for these fields.\n\n3. **Marking Secrets**: If you want to set a configurable variable as a secret (for instance, if it holds sensitive information like an API key), you can click the lock icon next to the variable. This will conceal the input value. If you need to update the secret later, you can click on **Update Secret Content** to specify a new value.\n\n4. **Deploying the Application**: Once you have configured the required values, click **Deploy** to apply the changes and deploy your Ballerina component.\n\n5. **Using Configurables**: It’s useful to note that you can use configurables instead of environment variables to add file mounts to a Ballerina component. This is especially beneficial as environment variables are mainly for components written in other languages.\n\nFor detailed steps and additional information, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/manage-configurations-and-secrets/#manage-ballerina-configurables).\n\nThis process helps ensure that the necessary configurations for your Ballerina components are set accurately and securely."
What are the required permissions for environment promotion approvals?,"To review and respond to environment promotion approval requests in Choreo, a user must have the following permissions:\n\n1. **WORKFLOW-MANAGEMENT**:\n   - **Approve component promotion requests**: This permission allows the user to review and approve the promotion of components to critical environments.\n\n2. **PROJECT-MANAGEMENT**:\n   - Grants access to view and approve workflow requests. This permission is also used to update or delete projects.\n\nIt is essential for administrators to ensure that users designated to review and respond to approval requests possess these permissions.\n\nFor more detailed information, you can refer to the documentation [here](https://wso2.com/choreo/docs/administer/configure-approvals-for-choreo-workflows/#permissions-to-review-and-respond-to-approval-requests)."
